formacion
4231
3421
4231
41212
4231
4231
4231
442
433
4231
4411
4411
4411
41212
433
4411
433
4231
4231
4231
343
343
343
4231
3421
3421
3421
3421
3421
3421
4231
41212
433
442
442
352
4231
442
3511
3511
4231
433
4222
4222
352
4141
4231
4141
4231
4231
442
442
4231
4231
442
442
352
352
4231
352
4231
4231
343
442
352
343
343
3421
343
352
352
3421
4231
4231
4231
343
4231
442
3421
442
3421
3421
352
433
433
4231
4141
4411
4231
3421
352
4231
4141
4231
4231
4231
4231
3412
343
4231
433
352
352
4231
4231
352
451
433
343
3421
4231
343
343
442
343
4231
4231
442
442
442
3421
3421
352
352
433
352
442
343
4411
4231
352
433
352
433
3511
4231
4231
3421
4231
4141
4231
4231
4231
41212
3412
442
3412
352
343
343
3421
3412
3412
442
352
352
3412
4141
442
3412
3412
433
433
4231
3421
3421
3421
352
3511
4231
4231
